Date,stock,Open,High,Low,Close,Adj Close,Volume
2023-02-22,AAPL,308.5977,309.1381,303.2325,304.5209,304.5209,29733032
2023-02-23,AAPL,304.5209,304.5593,301.7536,302.5746,302.5746,46099623
2023-02-24,AAPL,302.5746,304.0481,301.8108,302.5095,302.5095,42614520
2023-02-27,AAPL,302.5095,312.422,301.6498,311.4804,311.4804,11589490
2023-02-28,AAPL,311.4804,311.585,310.5713,311.1729,311.1729,14193041
2023-03-01,AAPL,311.1729,311.4449,307.3216,310.9873,310.9873,13294571
2023-03-02,AAPL,310.9873,319.9967,310.0845,319.7612,319.7612,20534575
2023-03-03,AAPL,319.7612,320.8361,315.1689,317.5021,317.5021,43058790
2023-03-06,AAPL,317.5021,318.7056,313.6887,314.7122,314.7122,39371327
2023-03-07,AAPL,314.7122,316.7324,310.5902,313.553,313.553,14941678
2023-03-08,AAPL,313.553,315.258,303.159,304.3943,304.3943,37349224
2023-03-09,AAPL,304.3943,305.5116,294.0306,297.0227,297.0227,4925000
2023-03-10,AAPL,297.0227,302.9811,296.7443,302.371,302.371,18684236
2023-03-13,AAPL,302.371,304.6933,296.1265,297.8228,297.8228,17798483
2023-03-14,AAPL,297.8228,303.0625,296.8837,301.7012,301.7012,1452707
2023-03-15,AAPL,301.7012,301.7383,297.884,298.3634,298.3634,9272552
2023-03-16,AAPL,298.3634,310.1894,298.0133,307.4805,307.4805,16535036
2023-03-17,AAPL,307.4805,315.3639,306.4908,313.0693,313.0693,15798918
2023-03-20,AAPL,313.0693,315.5675,311.092,312.0207,312.0207,45786230
2023-03-21,AAPL,312.0207,315.9402,310.6629,315.1392,315.1392,30526634
2023-03-22,AAPL,315.1392,315.6632,307.54,310.8874,310.8874,32022181
2023-03-23,AAPL,310.8874,313.1823,310.6071,311.3337,311.3337,25000857
2023-03-24,AAPL,311.3337,312.9544,305.0551,305.7343,305.7343,18412633
2023-03-27,AAPL,305.7343,310.9279,304.9348,310.0313,310.0313,17596242
2023-03-28,AAPL,310.0313,310.4529,306.5478,307.5139,307.5139,11689310
2023-03-29,AAPL,307.5139,308.1925,305.6958,306.2299,306.2299,34672821
2023-03-30,AAPL,306.2299,313.8154,304.4241,313.546,313.546,32888211
2023-03-31,AAPL,313.546,318.4963,311.8181,316.1768,316.1768,37993940
2023-04-03,AAPL,316.1768,316.3195,311.1634,312.1226,312.1226,10651356
2023-04-04,AAPL,312.1226,318.4891,311.4271,317.9991,317.9991,19243040
2023-04-05,AAPL,317.9991,318.3768,317.7082,318.3358,318.3358,42156770
2023-04-06,AAPL,318.3358,330.4302,317.0862,328.3932,328.3932,36792879
2023-04-07,AAPL,328.3932,328.5489,324.6028,325.8662,325.8662,30008141
2023-04-10,AAPL,325.8662,328.8984,324.093,328.3125,328.3125,12586908
2023-04-11,AAPL,328.3125,331.659,328.2282,328.8163,328.8163,10710390
2023-04-12,AAPL,328.8163,331.8094,328.2615,330.2033,330.2033,9590986
2023-04-13,AAPL,330.2033,333.3075,327.8668,331.1302,331.1302,16495402
2023-04-14,AAPL,331.1302,338.7194,330.5956,336.7059,336.7059,32358511
2023-04-17,AAPL,336.7059,343.2116,335.1717,342.0424,342.0424,49031986
2023-04-18,AAPL,342.0424,351.8668,341.3826,350.9258,350.9258,3757935
2023-04-19,AAPL,350.9258,355.2208,349.6981,352.2774,352.2774,27914225
2023-04-20,AAPL,352.2774,352.9302,346.333,347.2386,347.2386,22265216
2023-04-21,AAPL,347.2386,347.5185,340.0531,343.2962,343.2962,8100793
2023-04-24,AAPL,343.2962,351.0496,343.2528,350.4285,350.4285,19475034
2023-04-25,AAPL,350.4285,357.8467,350.2928,356.3681,356.3681,15421825
2023-04-26,AAPL,356.3681,358.3693,343.0498,346.6288,346.6288,24264346
2023-04-27,AAPL,346.6288,347.6841,334.0629,335.5799,335.5799,8326075
2023-04-28,AAPL,335.5799,336.6312,331.818,332.2408,332.2408,43003897
2023-05-01,AAPL,332.2408,332.4499,328.3299,329.0034,329.0034,46720686
2023-05-02,AAPL,329.0034,329.5505,322.98,323.5293,323.5293,1858553
2023-05-03,AAPL,323.5293,325.1292,312.3331,316.6696,316.6696,38184347
2023-05-04,AAPL,316.6696,317.6516,314.3163,314.5494,314.5494,30702292
2023-05-05,AAPL,314.5494,321.0051,313.6268,319.8657,319.8657,41568283
2023-05-08,AAPL,319.8657,323.5506,316.8261,320.8052,320.8052,23076450
2023-05-09,AAPL,320.8052,323.4533,320.3631,322.8239,322.8239,34638144
2023-05-10,AAPL,322.8239,329.3796,322.7176,326.8298,326.8298,41997379
2023-05-11,AAPL,326.8298,327.9366,323.3707,324.0654,324.0654,9825839
2023-05-12,AAPL,324.0654,325.3303,322.3166,322.3968,322.3968,30471909
2023-05-15,AAPL,322.3968,322.8126,317.6033,318.0796,318.0796,13723216
2023-05-16,AAPL,318.0796,320.4996,315.5499,320.124,320.124,28160608
2023-05-17,AAPL,320.124,320.8038,310.921,312.1936,312.1936,9821896
2023-05-18,AAPL,312.1936,317.8578,309.9902,315.8506,315.8506,15682697
2023-05-19,AAPL,315.8506,324.3528,315.1885,323.7837,323.7837,42975806
2023-05-22,AAPL,323.7837,325.7111,319.8854,321.3046,321.3046,12142156
2023-05-23,AAPL,321.3046,323.0614,316.9249,317.561,317.561,16794413
2023-05-24,AAPL,317.561,321.7277,315.3398,315.5303,315.5303,41912276
2023-05-25,AAPL,315.5303,316.8315,311.7568,314.7252,314.7252,49132417
2023-05-26,AAPL,314.7252,320.5936,314.6422,318.5991,318.5991,24222776
2023-05-29,AAPL,318.5991,325.8238,317.4632,323.4445,323.4445,4826768
2023-05-30,AAPL,323.4445,325.2625,315.4237,315.4325,315.4325,15786695
2023-05-31,AAPL,315.4325,316.0256,308.7157,311.5323,311.5323,25564066
2023-06-01,AAPL,311.5323,319.3822,309.8979,317.9454,317.9454,18952235
2023-06-02,AAPL,317.9454,319.5662,317.2648,317.9311,317.9311,37419437
2023-06-05,AAPL,317.9311,324.3346,317.8816,323.1539,323.1539,9545194
2023-06-06,AAPL,323.1539,323.5946,322.4377,323.0674,323.0674,28038621
2023-06-07,AAPL,323.0674,324.9286,321.7722,323.2341,323.2341,19860709
2023-06-08,AAPL,323.2341,323.5868,318.0299,318.5001,318.5001,23117926
2023-06-09,AAPL,318.5001,319.9189,307.3322,308.3761,308.3761,44850976
2023-06-12,AAPL,308.3761,314.77,308.3008,314.0192,314.0192,6368805
2023-06-13,AAPL,314.0192,315.9643,312.6518,312.7129,312.7129,48736820
2023-06-14,AAPL,312.7129,314.7715,311.3872,314.6615,314.6615,41870110
2023-06-15,AAPL,314.6615,315.6661,309.8623,310.0168,310.0168,9341284
2023-06-16,AAPL,310.0168,311.1178,306.9742,308.99,308.99,37451925
2023-06-19,AAPL,308.99,311.2089,302.4859,305.5882,305.5882,4585853
2023-06-20,AAPL,305.5882,307.7212,303.5405,306.9848,306.9848,12890538
2023-06-21,AAPL,306.9848,309.7207,305.3336,309.3297,309.3297,19380568
2023-06-22,AAPL,309.3297,321.5721,307.7489,320.0565,320.0565,22297547
2023-06-23,AAPL,320.0565,329.4759,319.8396,327.7676,327.7676,6043634
2023-06-26,AAPL,327.7676,329.2863,326.309,327.9474,327.9474,48774350
2023-06-27,AAPL,327.9474,328.9456,326.3609,326.668,326.668,40212173
2023-06-28,AAPL,326.668,326.6853,324.2222,325.5167,325.5167,20387793
2023-06-29,AAPL,325.5167,329.6944,325.1914,328.3754,328.3754,6276766
2023-06-30,AAPL,328.3754,329.4492,324.6109,324.8891,324.8891,49352712
2023-07-03,AAPL,324.8891,325.0238,322.4652,323.2903,323.2903,23577302
2023-07-04,AAPL,323.2903,331.2686,321.0706,330.4758,330.4758,33101108
2023-07-05,AAPL,330.4758,332.4287,330.4561,330.8792,330.8792,4044820
2023-07-06,AAPL,330.8792,333.2062,329.9866,330.944,330.944,41444877
2023-07-07,AAPL,330.944,333.7647,329.9821,332.9966,332.9966,21905114
2023-07-10,AAPL,332.9966,335.6439,328.2187,335.3386,335.3386,13563690
2023-07-11,AAPL,335.3386,343.6315,335.1496,340.766,340.766,3437199
2023-07-12,AAPL,340.766,350.1958,340.7623,348.869,348.869,30194265
2023-07-13,AAPL,348.869,357.5333,348.7877,357.3844,357.3844,41436305
2023-07-14,AAPL,357.3844,365.8505,355.8197,364.6444,364.6444,28777385
2023-07-17,AAPL,364.6444,368.4979,360.7842,367.3516,367.3516,36838301
2023-07-18,AAPL,367.3516,370.0703,364.0918,367.0582,367.0582,9737267
2023-07-19,AAPL,367.0582,368.3404,358.6539,362.0744,362.0744,39463133
2023-07-20,AAPL,362.0744,363.9143,352.1294,356.1031,356.1031,20289036
2023-07-21,AAPL,356.1031,356.8722,353.9107,355.6115,355.6115,33740157
2023-07-24,AAPL,355.6115,366.9446,351.8497,366.5986,366.5986,37255388
2023-07-25,AAPL,366.5986,367.8193,355.8317,357.026,357.026,28146955
2023-07-26,AAPL,357.026,357.1337,351.2561,356.5984,356.5984,48143222
2023-07-27,AAPL,356.5984,358.9261,356.5956,357.8231,357.8231,10012788
2023-07-28,AAPL,357.8231,360.2869,357.6326,358.4145,358.4145,27480595
2023-07-31,AAPL,358.4145,361.2026,355.883,360.1758,360.1758,2961531
2023-08-01,AAPL,360.1758,365.3681,358.0656,365.2379,365.2379,18189440
2023-08-02,AAPL,365.2379,365.6987,363.1639,364.0346,364.0346,3016506
2023-08-03,AAPL,364.0346,366.1973,355.9618,358.925,358.925,29616378
2023-08-04,AAPL,358.925,360.7206,350.3212,351.0125,351.0125,38526193
2023-08-07,AAPL,351.0125,351.679,342.7056,343.9787,343.9787,36294159
2023-08-08,AAPL,343.9787,344.903,340.5038,341.7237,341.7237,33626831
2023-08-09,AAPL,341.7237,343.7681,336.2186,337.7116,337.7116,42602443
2023-08-10,AAPL,337.7116,345.7857,335.4255,342.4006,342.4006,15607992
2023-08-11,AAPL,342.4006,346.1548,341.7377,344.4142,344.4142,21325689
2023-08-14,AAPL,344.4142,345.0465,342.4573,342.9919,342.9919,37904742
2023-08-15,AAPL,342.9919,350.2131,342.0631,347.457,347.457,32929640
2023-08-16,AAPL,347.457,347.8717,342.6751,344.194,344.194,18822964
2023-08-17,AAPL,344.194,347.2014,343.8745,345.9279,345.9279,21934119
2023-08-18,AAPL,345.9279,347.2919,340.8948,342.3021,342.3021,47639789
2023-08-21,AAPL,342.3021,347.9631,336.7546,347.7188,347.7188,29996354
2023-08-22,AAPL,347.7188,350.9436,347.55,349.4133,349.4133,30269460
2023-08-23,AAPL,349.4133,359.9395,346.8305,356.8889,356.8889,10888024
2023-08-24,AAPL,356.8889,357.7583,347.9935,350.167,350.167,11736717
2023-08-25,AAPL,350.167,350.5857,341.4584,342.354,342.354,10708524
2023-08-28,AAPL,342.354,345.8237,340.6685,344.907,344.907,10347286
2023-08-29,AAPL,344.907,347.5061,340.9144,344.3639,344.3639,6838639
2023-08-30,AAPL,344.3639,345.8662,338.5868,340.4736,340.4736,22253013
2023-08-31,AAPL,340.4736,341.4786,336.1956,337.3107,337.3107,13677147
2023-09-01,AAPL,337.3107,338.7302,336.5685,337.9346,337.9346,10859020
2023-09-04,AAPL,337.9346,350.6023,337.2877,347.9477,347.9477,38036529
2023-09-05,AAPL,347.9477,353.2144,347.2877,352.6881,352.6881,12098773
2023-09-06,AAPL,352.6881,354.0382,346.0773,347.6893,347.6893,15669076
2023-09-07,AAPL,347.6893,351.7656,347.1001,350.1943,350.1943,23958706
2023-09-08,AAPL,350.1943,363.1315,347.6346,362.9456,362.9456,38433882
2023-09-11,AAPL,362.9456,364.0699,361.9959,362.7165,362.7165,39486757
2023-09-12,AAPL,362.7165,364.1846,356.775,358.5467,358.5467,8189266
2023-09-13,AAPL,358.5467,369.9867,358.3054,366.6793,366.6793,30449026
2023-09-14,AAPL,366.6793,369.1563,363.6665,364.9677,364.9677,25829725
2023-09-15,AAPL,364.9677,365.8654,358.9906,359.309,359.309,41669345
2023-09-18,AAPL,359.309,361.2359,357.8035,359.1666,359.1666,1092585
2023-09-19,AAPL,359.1666,359.6217,347.549,348.7604,348.7604,37199211
2023-09-20,AAPL,348.7604,349.9025,339.3422,340.7743,340.7743,4136082
2023-09-21,AAPL,340.7743,352.6256,339.3868,349.0952,349.0952,1286651
2023-09-22,AAPL,349.0952,352.8356,348.4186,351.8525,351.8525,1914486
2023-09-25,AAPL,351.8525,356.438,349.913,353.4556,353.4556,32651430
2023-09-26,AAPL,353.4556,354.8618,346.2828,347.8348,347.8348,15446721
2023-09-27,AAPL,347.8348,354.0707,347.4862,353.7381,353.7381,3704909
2023-09-28,AAPL,353.7381,357.9575,353.5959,354.3814,354.3814,32622322
2023-09-29,AAPL,354.3814,356.9223,347.197,348.0745,348.0745,4083570
2023-10-02,AAPL,348.0745,349.0575,347.4036,347.9188,347.9188,26754697
2023-10-03,AAPL,347.9188,347.9272,342.1117,343.603,343.603,29081710
2023-10-04,AAPL,343.603,343.7019,332.9087,333.6248,333.6248,38947942
2023-10-05,AAPL,333.6248,333.8544,327.9298,331.1145,331.1145,44145723
2023-10-06,AAPL,331.1145,331.5974,326.2192,329.5056,329.5056,16847543
2023-10-09,AAPL,329.5056,338.4838,326.5699,338.4748,338.4748,16242768
2023-10-10,AAPL,338.4748,340.1456,337.4187,340.034,340.034,16006718
2023-10-11,AAPL,340.034,341.948,340.0117,340.4206,340.4206,17706127
2023-10-12,AAPL,340.4206,348.0591,339.9938,347.5089,347.5089,43870054
2023-10-13,AAPL,347.5089,354.8428,346.3497,352.6823,352.6823,33629747
2023-10-16,AAPL,352.6823,357.3982,350.6615,354.6892,354.6892,27322170
2023-10-17,AAPL,354.6892,355.1576,346.4096,348.029,348.029,22694286
2023-10-18,AAPL,348.029,358.9398,345.2119,356.4047,356.4047,8133551
2023-10-19,AAPL,356.4047,356.9167,350.8827,351.9752,351.9752,46614391
2023-10-20,AAPL,351.9752,361.3399,349.8839,358.1824,358.1824,16010965
2023-10-23,AAPL,358.1824,359.4924,354.1465,356.5056,356.5056,19444814
2023-10-24,AAPL,356.5056,359.8365,353.6798,357.769,357.769,37856088
2023-10-25,AAPL,357.769,359.8763,356.8648,357.9341,357.9341,1721973
2023-10-26,AAPL,357.9341,365.8209,356.2746,364.8449,364.8449,30323197
2023-10-27,AAPL,364.8449,375.3515,363.7278,372.2927,372.2927,7585298
2023-10-30,AAPL,372.2927,374.5465,369.0994,370.8478,370.8478,23284845
2023-10-31,AAPL,370.8478,371.1785,364.1022,364.1753,364.1753,43639441
2023-11-01,AAPL,364.1753,365.4218,360.5738,360.7523,360.7523,15834988
2023-11-02,AAPL,360.7523,370.3864,358.0331,366.1981,366.1981,14154471
2023-11-03,AAPL,366.1981,368.0635,358.5394,360.2298,360.2298,9559516
2023-11-06,AAPL,360.2298,361.2912,356.4485,356.5844,356.5844,4041584
2023-11-07,AAPL,356.5844,359.1819,354.2133,359.1716,359.1716,8253627
2023-11-08,AAPL,359.1716,363.1887,357.0853,363.0926,363.0926,30247683
2023-11-09,AAPL,363.0926,363.1544,352.0698,354.366,354.366,34160192
2023-11-10,AAPL,354.366,355.5761,352.8239,355.2215,355.2215,37210223
2023-11-13,AAPL,355.2215,356.5098,348.7386,349.7354,349.7354,36118937
2023-11-14,AAPL,349.7354,351.9643,338.9375,339.9987,339.9987,30968077
2023-11-15,AAPL,339.9987,343.1213,338.1913,342.8451,342.8451,39765523
2023-11-16,AAPL,342.8451,344.5168,341.2931,342.1247,342.1247,9827621
2023-11-17,AAPL,342.1247,350.3535,340.5431,349.7035,349.7035,29148915
2023-11-20,AAPL,349.7035,350.5398,347.3203,348.1448,348.1448,22063873
2023-11-21,AAPL,348.1448,351.4052,346.6101,349.5505,349.5505,28271220
2023-11-22,AAPL,349.5505,354.4466,347.8278,352.8821,352.8821,39424515
2023-11-23,AAPL,352.8821,352.9113,347.5822,350.0622,350.0622,15057797
2023-11-24,AAPL,350.0622,355.7122,346.7213,354.3023,354.3023,49012633
2023-11-27,AAPL,354.3023,355.5816,348.6187,349.0628,349.0628,4368176
2023-11-28,AAPL,349.0628,349.4249,335.8177,336.7346,336.7346,17768754
2023-11-29,AAPL,336.7346,339.5314,335.7413,338.5146,338.5146,37007633
2023-11-30,AAPL,338.5146,343.5021,337.6801,342.1872,342.1872,8378407
2023-12-01,AAPL,342.1872,343.4575,336.4642,336.589,336.589,4485347
2023-12-04,AAPL,336.589,337.4531,329.783,331.8159,331.8159,9250867
2023-12-05,AAPL,331.8159,334.6066,331.7954,333.9348,333.9348,20180984
2023-12-06,AAPL,333.9348,334.9699,325.5512,326.2155,326.2155,14724014
2023-12-07,AAPL,326.2155,328.9102,324.8909,326.5824,326.5824,9953656
2023-12-08,AAPL,326.5824,327.6902,320.7148,321.7449,321.7449,35623893
2023-12-11,AAPL,321.7449,326.1029,319.4766,325.8416,325.8416,45681707
2023-12-12,AAPL,325.8416,328.4224,325.4707,328.0665,328.0665,7160465
2023-12-13,AAPL,328.0665,329.0673,324.4574,324.5279,324.5279,7372275
2023-12-14,AAPL,324.5279,325.9191,322.6544,325.3381,325.3381,48504478
2023-12-15,AAPL,325.3381,326.2568,312.6469,314.5534,314.5534,31144287
2023-12-18,AAPL,314.5534,315.7636,313.6061,315.1789,315.1789,49394611
2023-12-19,AAPL,315.1789,317.8111,312.1719,314.8709,314.8709,29324977
2023-12-20,AAPL,314.8709,320.0733,313.2885,319.5341,319.5341,42848787
2023-12-21,AAPL,319.5341,320.4296,317.768,318.7767,318.7767,21607832
2023-12-22,AAPL,318.7767,319.0383,317.5582,317.9498,317.9498,5178436
2023-12-25,AAPL,317.9498,320.0853,312.6269,315.1874,315.1874,6172707
2023-12-26,AAPL,315.1874,327.6876,313.1009,326.9562,326.9562,29980720
2023-12-27,AAPL,326.9562,331.6622,324.9734,329.4531,329.4531,3632052
2023-12-28,AAPL,329.4531,329.7758,327.4171,328.8386,328.8386,40580092
2023-12-29,AAPL,328.8386,329.86,319.319,321.125,321.125,45289247
2024-01-01,AAPL,321.125,321.7757,319.9662,320.7272,320.7272,48217785
2024-01-02,AAPL,320.7272,326.2962,319.9408,325.6652,325.6652,34616327
2024-01-03,AAPL,325.6652,334.7593,324.7663,333.003,333.003,37024003
2024-01-04,AAPL,333.003,334.3069,329.8748,330.1842,330.1842,38405965
2024-01-05,AAPL,330.1842,330.2928,324.9914,325.2684,325.2684,49816457
2024-01-08,AAPL,325.2684,327.941,324.7475,327.1866,327.1866,16804284
2024-01-09,AAPL,327.1866,328.3583,325.7916,326.2628,326.2628,37752352
2024-01-10,AAPL,326.2628,336.7777,325.2305,334.5327,334.5327,8639163
2024-01-11,AAPL,334.5327,336.5798,332.4233,336.4319,336.4319,2469308
2024-01-12,AAPL,336.4319,337.3302,335.642,336.9436,336.9436,32376690
2024-01-15,AAPL,336.9436,342.7823,335.7928,341.6001,341.6001,21095164
2024-01-16,AAPL,341.6001,346.2258,341.417,345.5506,345.5506,48463873
2024-01-17,AAPL,345.5506,345.6052,344.2028,345.0182,345.0182,16921132
2024-01-18,AAPL,345.0182,347.1466,342.1089,346.0003,346.0003,30864955
2024-01-19,AAPL,346.0003,348.1261,342.7927,343.4837,343.4837,17854819
2024-01-22,AAPL,343.4837,351.6038,342.3261,348.5078,348.5078,37487652
2024-01-23,AAPL,348.5078,362.1133,345.8602,358.5352,358.5352,41810770
2024-01-24,AAPL,358.5352,363.5955,354.3225,363.5798,363.5798,37567388
2024-01-25,AAPL,363.5798,368.119,362.9183,366.0129,366.0129,34844565
2024-01-26,AAPL,366.0129,369.4194,362.4944,363.7527,363.7527,35683439
2024-01-29,AAPL,363.7527,375.4083,360.1373,373.2999,373.2999,7387376
2024-01-30,AAPL,373.2999,376.2732,368.4815,368.5629,368.5629,43436877
2024-01-31,AAPL,368.5629,373.3891,367.1308,370.7379,370.7379,38170267
2024-02-01,AAPL,370.7379,371.0577,364.1049,367.6895,367.6895,41179507
2024-02-02,AAPL,367.6895,367.7031,365.5483,365.857,365.857,45455827
2024-02-05,AAPL,365.857,367.6827,365.3335,367.1974,367.1974,40197609
2024-02-06,AAPL,367.1974,367.7805,366.33,366.6714,366.6714,30656973
2024-02-07,AAPL,366.6714,367.63,362.1061,363.1141,363.1141,19000692
2024-02-08,AAPL,363.1141,363.8201,362.5184,363.268,363.268,4065037
2024-02-09,AAPL,363.268,366.2574,359.8091,360.4993,360.4993,30594351
2024-02-12,AAPL,360.4993,366.064,357.0829,365.0939,365.0939,39896149
2024-02-13,AAPL,365.0939,366.6914,361.2107,363.0143,363.0143,24491944
2024-02-14,AAPL,363.0143,373.9056,361.9239,371.3598,371.3598,36324991
2024-02-15,AAPL,371.3598,374.7229,365.7239,366.3682,366.3682,26380905
2024-02-16,AAPL,366.3682,375.4997,362.3361,374.2667,374.2667,39799662
2024-02-19,AAPL,374.2667,376.4088,373.1218,375.663,375.663,45538313
2024-02-20,AAPL,375.663,377.8129,372.973,374.0931,374.0931,43825587
2024-02-21,AAPL,374.0931,376.0687,373.6688,374.2071,374.2071,28802922
2024-02-22,AAPL,374.2071,376.9388,372.716,376.6248,376.6248,43905439
2024-02-23,AAPL,376.6248,377.3457,354.3186,358.9315,358.9315,11754198
2024-02-26,AAPL,358.9315,359.3646,350.7966,350.8104,350.8104,21893624
2024-02-27,AAPL,350.8104,357.1056,350.5433,356.264,356.264,3123771
2024-02-28,AAPL,356.264,360.5548,350.5996,360.5246,360.5246,28937117
2024-02-29,AAPL,360.5246,364.673,359.545,361.5806,361.5806,2502681
2024-03-01,AAPL,361.5806,370.2596,357.68,367.8037,367.8037,7082102
2024-03-04,AAPL,367.8037,375.4457,367.1856,375.3662,375.3662,7286568
2024-03-05,AAPL,375.3662,376.215,363.6955,364.902,364.902,6445626
2024-03-06,AAPL,364.902,372.5327,362.836,371.1119,371.1119,24411754
2024-03-07,AAPL,371.1119,375.5837,370.1456,374.3602,374.3602,25232245
2024-03-08,AAPL,374.3602,377.1698,362.807,364.1471,364.1471,39475100
2024-03-11,AAPL,364.1471,364.8538,362.848,363.438,363.438,48079759
2024-03-12,AAPL,363.438,371.3117,363.0045,369.6991,369.6991,5157845
2024-03-13,AAPL,369.6991,370.0471,364.4102,364.9975,364.9975,15605550
2024-03-14,AAPL,364.9975,379.27,363.9103,378.1989,378.1989,6713598
2024-03-15,AAPL,378.1989,389.8089,377.9483,389.1329,389.1329,39325075
2024-03-18,AAPL,389.1329,398.9849,388.842,398.7755,398.7755,40093401
2024-03-19,AAPL,398.7755,407.1639,398.6672,405.9761,405.9761,36249628
2024-03-20,AAPL,405.9761,422.1034,405.7391,421.4346,421.4346,48097447
2024-03-21,AAPL,421.4346,425.2816,420.172,422.5132,422.5132,44244241
2024-03-22,AAPL,422.5132,425.0142,411.7007,412.7693,412.7693,39081794
2024-03-25,AAPL,412.7693,416.4205,411.3177,412.423,412.423,16236007
2023-01-03,MSFT,125.7111,129.0261,125.6934,128.3034,128.3034,28513183
2023-01-04,MSFT,128.3034,129.0251,126.8187,127.4517,127.4517,42850782
2023-01-05,MSFT,127.4517,131.9319,126.9575,131.7965,131.7965,16162250
2023-01-06,MSFT,131.7965,132.9195,130.8778,132.6078,132.6078,12182938
2023-01-09,MSFT,132.6078,135.0409,132.3577,134.8313,134.8313,34944333
2023-01-10,MSFT,134.8313,134.9324,132.5129,132.8866,132.8866,27364423
2023-01-11,MSFT,132.8866,136.977,132.5063,136.6582,136.6582,33704019
2023-01-12,MSFT,136.6582,139.0029,136.376,138.4691,138.4691,26860632
2023-01-13,MSFT,138.4691,138.7727,137.6747,137.9103,137.9103,22081099
2023-01-16,MSFT,137.9103,138.8269,137.0185,137.1187,137.1187,4906985
2023-01-17,MSFT,137.1187,137.4668,132.5876,133.2306,133.2306,8624182
2023-01-18,MSFT,133.2306,138.5539,132.8718,138.2835,138.2835,18070260
2023-01-19,MSFT,138.2835,138.8566,137.7225,138.7162,138.7162,31422321
2023-01-20,MSFT,138.7162,140.0886,137.7114,138.3523,138.3523,34338237
2023-01-23,MSFT,138.3523,139.3392,137.8777,138.2803,138.2803,11830087
2023-01-24,MSFT,138.2803,138.2881,137.3701,137.7004,137.7004,13342288
2023-01-25,MSFT,137.7004,139.8836,136.7048,139.2138,139.2138,41542240
2023-01-26,MSFT,139.2138,140.4293,138.5114,140.4035,140.4035,47723319
2023-01-27,MSFT,140.4035,142.8005,139.8128,141.7694,141.7694,24679861
2023-01-30,MSFT,141.7694,142.322,141.1698,141.1849,141.1849,38471128
2023-01-31,MSFT,141.1849,144.8335,140.3339,143.9703,143.9703,29453205
2023-02-01,MSFT,143.9703,144.3177,141.3003,141.7308,141.7308,8062543
2023-02-02,MSFT,141.7308,142.6696,140.7946,141.1197,141.1197,25434723
2023-02-03,MSFT,141.1197,145.5198,139.3925,145.391,145.391,46091957
